Plate Name,Dilution,Colony Name,Sector Constant,Count / Frame,Count / ml,Mean Count / ml,User,Flags,Created,Comments / Notes,Spiral Volume
2_34,1 : 100,A,4A,165,3.3E+005,3.3E+005,P3Admin,,3/17/2019 4:42:09 PM,,50ul
2_35,1 : 100,A,4B,174,5.8E+005,5.8E+005,P3Admin,,3/17/2019 4:42:27 PM,,50ul
2_36,1 : 100,A,W,16,3.2E+004,3.2E+004,P3Admin,M E ,3/17/2019 4:42:58 PM,,50ul
2_37,1 : 100,A,4B,199,6.63E+005,6.63E+005,P3Admin,,3/17/2019 4:43:55 PM,,50ul
2_39,1 : 100,A,W,143,2.86E+005,2.86E+005,P3Admin,,3/17/2019 4:44:36 PM,,50ul
2_40,1 : 100,A,4A,160,3.2E+005,3.2E+005,P3Admin,,3/17/2019 4:44:53 PM,,50ul
2_42,1 : 100,A,W,85,1.7E+005,1.7E+005,P3Admin,,3/17/2019 4:45:16 PM,,50ul
2_43,1 : 100,A,W,63,1.26E+005,1.26E+005,P3Admin,,3/17/2019 4:45:34 PM,,50ul
2_44,1 : 100,A,3B,174,3.18E+006,3.18E+006,P3Admin,,3/17/2019 4:45:52 PM,,50ul
2_45,1 : 100,A,W,120,2.4E+005,2.4E+005,P3Admin,,3/17/2019 4:46:10 PM,,50ul
2_46,1 : 100,A,4B,212,7.07E+005,7.07E+005,P3Admin,,3/17/2019 4:46:26 PM,,50ul
2_47,1 : 100,A,4A,206,4.12E+005,4.12E+005,P3Admin,,3/17/2019 4:46:43 PM,,50ul
2_48,1 : 100,A,W,89,1.78E+005,1.78E+005,P3Admin,,3/17/2019 4:47:01 PM,,50ul
2_49,1 : 100,A,4B,190,6.33E+005,6.33E+005,P3Admin,,3/17/2019 4:47:22 PM,,50ul
2_51,1 : 100,A,W,146,2.92E+005,2.92E+005,P3Admin,,3/17/2019 4:47:57 PM,,50ul
2_53,1 : 100,A,4A,160,3.2E+005,3.2E+005,P3Admin,,3/17/2019 4:48:21 PM,,50ul
10_27,1 : 100,A,W,132,2.64E+005,2.64E+005,P3Admin,,3/18/2019 10:28:22 AM,,50ul
10_28,1 : 100,A,4A,192,3.84E+005,3.84E+005,P3Admin,,3/18/2019 10:28:54 AM,,50ul
10_31,1 : 100,A,4B,216,7.2E+005,7.2E+005,P3Admin,,3/18/2019 10:29:59 AM,,50ul
10_35,1 : 100,A,4B,239,7.97E+005,7.97E+005,P3Admin,,3/18/2019 10:30:20 AM,,50ul
7_6,1 : 100,A,4B,191,6.37E+005,6.37E+005,P3Admin,,3/18/2019 10:33:37 AM,,50ul
7_20,1 : 100,A,W,84,1.68E+005,1.68E+005,P3Admin,,3/18/2019 10:37:53 AM,,50ul
7_23,1 : 100,A,4A,245,4.9E+005,4.9E+005,P3Admin,,3/18/2019 10:38:40 AM,,50ul
7_25,1 : 100,A,W,97,1.94E+005,1.94E+005,P3Admin,,3/18/2019 10:39:08 AM,,50ul
7_26,1 : 100,A,3B,160,2.92E+006,2.92E+006,P3Admin,,3/18/2019 10:39:49 AM,,50ul
7_32,1 : 100,A,W,38,7.6E+004,7.6E+004,P3Admin,,3/18/2019 10:42:41 AM,,50ul
7_34,1 : 100,A,W,96,1.92E+005,1.92E+005,P3Admin,,3/18/2019 10:43:27 AM,,50ul
7_36,1 : 100,A,W,47,9.4E+004,9.4E+004,P3Admin,,3/18/2019 10:43:49 AM,,50ul
7_38,1 : 100,A,3A,162,1.53E+006,1.53E+006,P3Admin,,3/18/2019 10:44:21 AM,,50ul
7_41,1 : 100,A,W,39,7.8E+004,7.8E+004,P3Admin,,3/18/2019 10:44:56 AM,,50ul
7_43,1 : 100,A,3A,174,1.65E+006,1.65E+006,P3Admin,,3/18/2019 10:45:25 AM,,50ul
7_44,1 : 100,A,W,134,2.68E+005,2.68E+005,P3Admin,,3/18/2019 10:45:45 AM,,50ul
7_46,1 : 100,A,W,90,1.8E+005,1.8E+005,P3Admin,,3/18/2019 10:46:20 AM,,50ul
7_47,1 : 100,A,4A,175,3.5E+005,3.5E+005,P3Admin,,3/18/2019 10:46:47 AM,,50ul
7_51,1 : 100,A,4C,161,8.81E+005,8.81E+005,P3Admin,,3/18/2019 10:47:46 AM,,50ul
4_1,1 : 100,A,W,89,1.78E+005,1.78E+005,P3Admin,,3/18/2019 10:48:31 AM,,50ul
4_14,1 : 100,A,W,45,9.E+004,9.E+004,P3Admin,,3/18/2019 10:51:50 AM,,50ul
4_25,1 : 100,A,W,86,1.72E+005,1.72E+005,P3Admin,,3/18/2019 10:54:48 AM,,50ul
4_30,1 : 100,A,W,42,8.4E+004,8.4E+004,P3Admin,,3/18/2019 10:55:24 AM,,50ul
2_3,1 : 100,A,W,102,2.04E+005,2.04E+005,P3Admin,,3/18/2019 11:01:16 AM,,50ul
2_6,1 : 100,A,4A,161,3.22E+005,3.22E+005,P3Admin,,3/18/2019 11:02:23 AM,,50ul
2_7,1 : 100,A,W,150,3.E+005,3.E+005,P3Admin,,3/18/2019 11:02:46 AM,,50ul
2_8,1 : 100,A,4A,175,3.5E+005,3.5E+005,P3Admin,,3/18/2019 11:03:07 AM,,50ul
2_9,1 : 100,A,W,46,9.2E+004,9.2E+004,P3Admin,,3/18/2019 11:03:33 AM,,50ul
2_10,1 : 100,A,4B,322,1.07E+006,1.07E+006,P3Admin,,3/18/2019 11:04:02 AM,,50ul
2_11,1 : 100,A,4C,299,1.64E+006,1.64E+006,P3Admin,,3/18/2019 11:04:29 AM,,50ul
2_12,1 : 100,A,W,48,9.6E+004,9.6E+004,P3Admin,,3/18/2019 11:04:51 AM,,50ul
2_13,1 : 100,A,3B,256,4.67E+006,4.67E+006,P3Admin,,3/18/2019 11:05:11 AM,,50ul
2_14,1 : 100,A,4A,271,5.42E+005,5.42E+005,P3Admin,,3/18/2019 11:05:31 AM,,50ul
2_15,1 : 100,A,3A,180,1.7E+006,1.7E+006,P3Admin,,3/18/2019 11:05:50 AM,,50ul
2_16,1 : 100,A,W,99,1.98E+005,1.98E+005,P3Admin,,3/18/2019 11:06:12 AM,,50ul
2_17,1 : 100,A,W,45,9.E+004,9.E+004,P3Admin,,3/18/2019 11:06:40 AM,,50ul
2_20,1 : 100,A,W,78,1.56E+005,1.56E+005,P3Admin,,3/18/2019 11:07:25 AM,,50ul
2_22,1 : 100,A,3B,278,5.07E+006,5.07E+006,P3Admin,,3/18/2019 11:08:24 AM,,50ul
2_23,1 : 100,A,4A,200,4.E+005,4.E+005,P3Admin,,3/18/2019 11:09:07 AM,,50ul
2_27,1 : 100,A,4B,264,8.8E+005,8.8E+005,P3Admin,,3/18/2019 11:10:51 AM,,50ul
V_1,1 : 100,A,W,26,5.2E+004,5.2E+004,P3Admin,,3/18/2019 11:15:31 AM,,50ul
V_17,1 : 100,A,W,36,7.2E+004,7.2E+004,P3Admin,,3/18/2019 11:19:19 AM,,50ul
V_24,1 : 100,A,W,38,7.6E+004,7.6E+004,P3Admin,,3/18/2019 11:20:44 AM,,50ul
V_44,1 : 100,A,W,32,6.4E+004,6.4E+004,P3Admin,,3/18/2019 11:23:29 AM,,50ul
7_5,1 : 1000,A,3B,213,3.89E+007,1.99E+007,P3Admin,,3/19/2019 11:38:56 AM,,50ul
7_7,1 : 1000,A,3A,265,2.51E+007,2.51E+007,P3Admin,,3/19/2019 11:39:51 AM,,50ul
7_8,1 : 100,A,3B,226,4.12E+006,4.12E+006,P3Admin,,3/19/2019 11:40:22 AM,,50ul
7_9,1 : 100,A,3B,222,4.05E+006,4.05E+006,P3Admin,,3/19/2019 11:40:45 AM,,50ul
7_13,1 : 100,A,3B,235,4.29E+006,4.29E+006,P3Admin,,3/19/2019 11:41:12 AM,,50ul
7_50,1 : 100,A,3B,183,3.34E+006,3.34E+006,P3Admin,,3/19/2019 11:42:01 AM,,50ul
10_26,1 : 100,A,3B,181,3.3E+006,3.3E+006,P3Admin,,3/19/2019 11:42:28 AM,,50ul
10_30,1 : 100,A,4A,174,3.48E+005,3.48E+005,P3Admin,,3/19/2019 11:42:55 AM,,50ul
10_36,1 : 100,A,3A,213,2.02E+006,2.02E+006,P3Admin,,3/19/2019 11:43:23 AM,,50ul
10_37,1 : 100,A,4C,173,9.46E+005,9.46E+005,P3Admin,,3/19/2019 11:44:02 AM,,50ul
4_22,1 : 100,A,3B,203,3.7E+006,1.92E+006,P3Admin,,3/19/2019 11:44:38 AM,,50ul
4_23,1 : 100,A,3B,207,3.78E+006,3.78E+006,P3Admin,,3/19/2019 11:45:10 AM,,50ul
4_24,1 : 100,A,3B,210,3.83E+006,3.83E+006,P3Admin,,3/19/2019 11:45:34 AM,,50ul
4_26,1 : 100,A,3B,187,3.41E+006,3.41E+006,P3Admin,,3/19/2019 11:46:02 AM,,50ul
4_27,1 : 100,A,3B,210,3.83E+006,3.83E+006,P3Admin,,3/19/2019 11:46:27 AM,,50ul
4_28,1 : 100,A,3B,214,3.91E+006,3.91E+006,P3Admin,,3/19/2019 11:46:51 AM,,50ul
4_10,1 : 100,A,3B,241,4.4E+006,4.4E+006,P3Admin,,3/19/2019 11:47:23 AM,,50ul
4_11,1 : 100,A,3B,217,3.96E+006,3.96E+006,P3Admin,,3/19/2019 11:47:47 AM,,50ul
4_13,1 : 100,A,3B,242,4.42E+006,4.42E+006,P3Admin,,3/19/2019 11:48:14 AM,,50ul
4_16,1 : 100,A,3A,241,2.28E+006,2.28E+006,P3Admin,,3/19/2019 11:48:42 AM,,50ul
4_17,1 : 100,A,3C,160,7.41E+006,7.41E+006,P3Admin,,3/19/2019 11:49:07 AM,,50ul
4_20,1 : 100,A,3B,181,3.3E+006,1.74E+006,P3Admin,,3/19/2019 11:49:39 AM,,50ul
7_15,1 : 100,A,3B,170,3.1E+006,3.1E+006,P3Admin,,3/19/2019 11:50:12 AM,,50ul
7_21,1 : 100,A,3B,215,3.92E+006,3.92E+006,P3Admin,,3/19/2019 11:50:43 AM,,50ul
7_24,1 : 100,A,3B,172,3.14E+006,3.14E+006,P3Admin,,3/19/2019 11:51:10 AM,,50ul
7_28,1 : 100,A,4C,212,1.16E+006,1.16E+006,P3Admin,,3/19/2019 11:51:37 AM,,50ul
7_31,1 : 100,A,3A,240,2.27E+006,1.35E+006,P3Admin,,3/19/2019 11:52:09 AM,,50ul
7_35,1 : 100,A,4C,240,1.31E+006,1.31E+006,P3Admin,,3/19/2019 11:52:38 AM,,50ul
7_37,1 : 100,A,3A,163,1.54E+006,1.54E+006,P3Admin,,3/19/2019 11:53:06 AM,,50ul
4_33,1 : 100,A,3B,235,4.29E+006,4.29E+006,P3Admin,,3/19/2019 11:53:37 AM,,50ul
4_34,1 : 100,A,3B,203,3.7E+006,3.7E+006,P3Admin,,3/19/2019 11:54:04 AM,,50ul
4_35,1 : 100,A,3C,163,7.55E+006,7.55E+006,P3Admin,,3/19/2019 11:54:29 AM,,50ul
4_36,1 : 100,A,3B,181,3.3E+006,3.3E+006,P3Admin,,3/19/2019 11:54:53 AM,,50ul
4_37,1 : 100,A,3B,246,4.49E+006,4.49E+006,P3Admin,,3/19/2019 11:55:18 AM,,50ul
7_3,1 : 100,A,3B,219,4.E+006,4.E+006,P3Admin,,3/19/2019 11:55:50 AM,,50ul
7_4,1 : 100,A,3B,205,3.74E+006,3.74E+006,P3Admin,,3/19/2019 11:56:16 AM,,50ul
2_4,1 : 100,A,3B,226,4.12E+006,2.64E+006,P3Admin,,3/19/2019 11:56:58 AM,,50ul
2_21,1 : 100,A,3C,167,7.73E+006,4.34E+006,P3Admin,,3/19/2019 11:57:43 AM,,50ul
2_26,1 : 100,A,3B,169,3.08E+006,3.08E+006,P3Admin,,3/19/2019 11:58:13 AM,,50ul
4_5,1 : 100,A,3B,225,4.11E+006,4.11E+006,P3Admin,,3/19/2019 11:58:46 AM,,50ul
4_6,1 : 100,A,3B,201,3.67E+006,3.67E+006,P3Admin,,3/19/2019 11:59:12 AM,,50ul
4_9,1 : 100,A,3B,219,4.E+006,4.E+006,P3Admin,,3/19/2019 11:59:41 AM,,50ul
V_10,1 : 100,A,3B,196,3.58E+006,3.58E+006,P3Admin,,3/19/2019 12:00:12 PM,,50ul
V_35,1 : 100,A,3B,196,3.58E+006,3.58E+006,P3Admin,,3/19/2019 12:00:42 PM,,50ul
V_39,1 : 100,A,3B,160,2.92E+006,2.92E+006,P3Admin,,3/19/2019 12:01:09 PM,,50ul
V_40,1 : 100,A,3A,183,1.73E+006,1.73E+006,P3Admin,,3/19/2019 12:01:34 PM,,50ul
2_1,1 : 100,A,3C,171,7.92E+006,7.92E+006,P3Admin,,3/19/2019 12:02:02 PM,,50ul
2_2,1 : 100,A,3C,162,7.5E+006,7.5E+006,P3Admin,,3/19/2019 12:02:29 PM,,50ul
2_5,1 : 10,A,W,22,4.4E+003,4.4E+003,P3Admin,,3/20/2019 2:37:45 PM,,50ul
V_4,1 : 10,A,W,15,3.E+003,3.E+003,P3Admin,,3/20/2019 2:38:29 PM,,50ul
2_25,1 : 10,A,W,69,1.38E+004,5.49E+005,P3Admin,,3/20/2019 2:42:31 PM,,50ul
4_18,1 : 10,A,4C,224,1.23E+005,1.23E+005,P3Admin,,3/20/2019 2:43:10 PM,,50ul
4_19,1 : 10,A,4C,258,1.41E+005,1.41E+005,P3Admin,,3/20/2019 2:43:34 PM,,50ul
V_2,1 : 10,A,3B,232,4.23E+005,4.23E+005,P3Admin,,3/20/2019 2:44:06 PM,,50ul
V_3,1 : 10,A,3B,161,2.94E+005,2.94E+005,P3Admin,,3/20/2019 2:44:29 PM,,50ul
V_5,1 : 10,A,4A,191,3.82E+004,4.04E+004,P3Admin,,3/20/2019 2:44:58 PM,,50ul
V_6,1 : 10,A,3A,192,1.82E+005,1.96E+005,P3Admin,,3/20/2019 2:45:46 PM,,50ul
V_13,1 : 10,A,W,36,7.2E+003,8.3E+003,P3Admin,,3/20/2019 2:46:26 PM,,50ul
V_15,1 : 10,A,W,138,2.76E+004,2.95E+004,P3Admin,,3/20/2019 2:47:02 PM,,50ul
V_16,1 : 10,A,4C,223,1.22E+005,1.22E+005,P3Admin,,3/20/2019 2:47:30 PM,,50ul
V_18,1 : 10,A,3B,193,3.52E+005,3.52E+005,P3Admin,,3/20/2019 2:47:58 PM,,50ul
V_19,1 : 10,A,4A,183,3.66E+004,2.95E+004,P3Admin,,3/20/2019 2:48:24 PM,,50ul
V_21,1 : 10,A,3B,218,3.98E+005,3.98E+005,P3Admin,,3/20/2019 2:48:54 PM,,50ul
V_25,1 : 10,A,3B,166,3.03E+005,3.03E+005,P3Admin,,3/20/2019 2:49:22 PM,,50ul
V_27,1 : 10,A,W,48,9.6E+003,9.6E+003,P3Admin,,3/20/2019 2:49:49 PM,,50ul
V_28,1 : 10,A,W,73,1.46E+004,1.59E+004,P3Admin,,3/20/2019 2:50:15 PM,,50ul
V_29,1 : 10,A,4C,185,1.01E+005,8.48E+004,P3Admin,,3/20/2019 2:50:41 PM,,50ul
V_30,1 : 10,A,4C,241,1.32E+005,1.26E+005,P3Admin,,3/20/2019 2:51:10 PM,,50ul
V_31,1 : 10,A,4B,182,6.07E+004,6.03E+004,P3Admin,,3/20/2019 2:51:47 PM,,50ul
V_32,1 : 10,A,W,18,3.6E+003,4.3E+003,P3Admin,,3/20/2019 2:52:15 PM,,50ul
V_41,1 : 10,A,4B,178,5.93E+004,5.93E+004,P3Admin,,3/20/2019 2:52:50 PM,,50ul
V_43,1 : 10,A,4B,181,6.03E+004,5.1E+004,P3Admin,,3/20/2019 2:53:41 PM,,50ul
4_2,1 : 100,A,4A,198,3.96E+005,3.96E+005,P3Admin,,3/20/2019 2:54:20 PM,,50ul
4_3,1 : 100,A,4C,231,1.26E+006,1.26E+006,P3Admin,,3/20/2019 2:54:50 PM,,50ul
4_8,1 : 100,A,3B,182,3.32E+006,2.11E+006,P3Admin,,3/20/2019 2:55:30 PM,,50ul
4_12,1 : 100,A,3A,171,1.62E+006,1.62E+006,P3Admin,,3/20/2019 2:56:00 PM,,50ul
4_15,1 : 100,A,3A,206,1.95E+006,1.95E+006,P3Admin,,3/20/2019 2:56:29 PM,,50ul
4_21,1 : 100,A,3B,272,4.96E+006,4.96E+006,P3Admin,,3/20/2019 2:56:57 PM,,50ul
4_29,1 : 100,A,3B,230,4.2E+006,4.2E+006,P3Admin,,3/20/2019 2:57:26 PM,,50ul
4_32,1 : 100,A,3A,183,1.73E+006,1.73E+006,P3Admin,,3/20/2019 2:58:03 PM,,50ul
2_18,1 : 100,A,3B,188,3.43E+006,3.43E+006,P3Admin,,3/20/2019 2:58:39 PM,,50ul
2_19,1 : 100,A,3A,189,1.79E+006,1.79E+006,P3Admin,,3/20/2019 2:59:16 PM,,50ul
2_24,1 : 100,A,3A,260,2.46E+006,2.46E+006,P3Admin,,3/20/2019 2:59:51 PM,,50ul
2_41,1 : 100,A,3C,315,1.46E+007,1.46E+007,P3Admin,,3/20/2019 3:00:23 PM,,50ul
V_7,1 : 100,A,3A,228,2.16E+006,2.16E+006,P3Admin,,3/20/2019 3:00:57 PM,,50ul
V_8,1 : 100,A,4C,225,1.23E+006,1.23E+006,P3Admin,,3/20/2019 3:01:23 PM,,50ul
V_9,1 : 100,A,4C,230,1.26E+006,1.26E+006,P3Admin,,3/20/2019 3:01:49 PM,,50ul
V_11,1 : 100,A,4B,218,7.27E+005,7.27E+005,P3Admin,,3/20/2019 3:02:21 PM,,50ul
V_12,1 : 100,A,3B,172,3.14E+006,3.14E+006,P3Admin,,3/20/2019 3:02:48 PM,,50ul
V_14,1 : 100,A,3A,201,1.9E+006,1.9E+006,P3Admin,,3/20/2019 3:03:18 PM,,50ul
V_20,1 : 100,A,4C,217,1.19E+006,1.19E+006,P3Admin,,3/20/2019 3:03:47 PM,,50ul
V_22,1 : 100,A,4C,190,1.04E+006,1.04E+006,P3Admin,,3/20/2019 3:04:22 PM,,50ul
V_23,1 : 100,A,4A,182,3.64E+005,3.64E+005,P3Admin,,3/20/2019 3:04:48 PM,,50ul
V_26,1 : 100,A,4A,188,3.76E+005,3.76E+005,P3Admin,,3/20/2019 3:05:17 PM,,50ul
V_33,1 : 100,A,4C,165,9.03E+005,9.03E+005,P3Admin,,3/20/2019 3:05:46 PM,,50ul
V_34,1 : 100,A,4A,229,4.58E+005,4.58E+005,P3Admin,,3/20/2019 3:06:14 PM,,50ul
V_36,1 : 100,A,4B,226,7.53E+005,7.53E+005,P3Admin,,3/20/2019 3:06:43 PM,,50ul
V_37,1 : 100,A,3A,212,2.01E+006,2.01E+006,P3Admin,,3/20/2019 3:07:10 PM,,50ul
V_38,1 : 100,A,4C,161,8.81E+005,8.81E+005,P3Admin,,3/20/2019 3:07:36 PM,,50ul
V_45,1 : 100,A,W,65,1.3E+005,1.04E+005,P3Admin,,3/20/2019 3:08:09 PM,,50ul
V_47,1 : 100,A,4B,216,7.2E+005,7.2E+005,P3Admin,,3/20/2019 3:08:38 PM,,50ul
7_1,1 : 100,A,3A,248,2.35E+006,2.35E+006,P3Admin,,3/20/2019 3:09:13 PM,,50ul
7_2,1 : 100,A,4B,238,7.93E+005,7.93E+005,P3Admin,,3/20/2019 3:09:40 PM,,50ul
7_14,1 : 100,A,3A,182,1.72E+006,1.72E+006,P3Admin,,3/20/2019 3:10:10 PM,,50ul
7_17,1 : 100,A,3B,197,3.59E+006,3.59E+006,P3Admin,,3/20/2019 3:10:40 PM,,50ul
7_18,1 : 100,A,4C,212,1.16E+006,1.16E+006,P3Admin,,3/20/2019 3:11:07 PM,,50ul
7_19,1 : 100,A,3A,168,1.59E+006,1.59E+006,P3Admin,,3/20/2019 3:11:36 PM,,50ul
7_27,1 : 100,A,4B,262,8.73E+005,8.73E+005,P3Admin,,3/20/2019 3:12:06 PM,,50ul
7_29,1 : 100,A,W,149,2.98E+005,2.98E+005,P3Admin,,3/20/2019 3:12:39 PM,,50ul
7_39,1 : 100,A,3A,175,1.66E+006,1.66E+006,P3Admin,,3/20/2019 3:13:09 PM,,50ul
7_42,1 : 100,A,4C,194,1.06E+006,1.06E+006,P3Admin,,3/20/2019 3:13:41 PM,,50ul
7_49,1 : 100,A,3A,270,2.56E+006,2.56E+006,P3Admin,,3/20/2019 3:14:13 PM,,50ul
V_46,1 : 1,A,W,73,1.46E+003,1.46E+003,P3Admin,,3/21/2019 11:39:54 AM,,50ul
10_6,1 : 1,A,W,30,6.E+002,6.E+002,P3Admin,,3/21/2019 11:40:48 AM,,50ul
2_50,1 : 10,A,W,33,6.6E+003,6.6E+003,P3Admin,,3/21/2019 11:42:44 AM,,50ul
7_11,1 : 10,A,3C,205,9.49E+005,9.49E+005,P3Admin,,3/21/2019 11:43:28 AM,,50ul
4_4,1 : 1000,A,W,86,1.72E+006,1.72E+006,P3Admin,,3/21/2019 11:44:42 AM,,50ul
